r2_linear,r2_mlp_best,r2_mlp_cfg,r2_kr_best,r2_kr_cfg,r2_best_nonlinear,best_nl_source,linear_over_nonlinear,n_pca,pca_var_explained,layer
-0.12753802577035978,-0.1243214382198059,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.12514192819201253,"{'alpha': 0.1, 'gamma': 0.01}",-0.1243214382198059,mlp,,20,0.9999999999999982,0
-0.40487462526175433,0.19102922889025664,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.31185341884726125,"{'alpha': 0.1, 'gamma': 0.01}",0.19102922889025664,mlp,-2.1194380965352093,20,0.8817755547128057,1
-0.3634369110548128,0.14460724722425933,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5646161830134295,"{'alpha': 0.1, 'gamma': 0.01}",0.14460724722425933,mlp,-2.513268996063446,20,0.8734256415281761,2
-0.209014921024697,0.09473516972254203,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5643363329396645,"{'alpha': 0.1, 'gamma': 0.01}",0.09473516972254203,mlp,-2.206307558606319,20,0.8841481973899775,3
-0.3309229830273259,0.37077192467228737,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5687968036489142,"{'alpha': 0.1, 'gamma': 0.01}",0.37077192467228737,mlp,-0.8925243822595722,20,0.8811727740670162,4
0.06763646872386453,0.02993143357706818,"{'hidden_layer_sizes': (16,), 'alpha': 1.0}",-0.5693586257354919,"{'alpha': 0.1, 'gamma': 0.01}",0.02993143357706818,mlp,2.2597136401673685,20,0.8971739792574834,5
0.03828473430628143,0.0657074486795638,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5746038348634548,"{'alpha': 0.1, 'gamma': 0.01}",0.0657074486795638,mlp,0.582654403353644,20,0.8963905921609266,6
0.1144576851721566,0.19228021277256335,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5760833672768082,"{'alpha': 0.1, 'gamma': 0.01}",0.19228021277256335,mlp,0.5952650224469103,20,0.8978804457292652,7
0.16359562017014373,0.0818489129913681,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.5880393945228435,"{'alpha': 0.1, 'gamma': 0.01}",0.0818489129913681,mlp,1.9987512868667756,20,0.8903136066847929,8
0.2506550170796078,0.1646762087526067,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5661014343443576,"{'alpha': 0.1, 'gamma': 0.01}",0.1646762087526067,mlp,1.5221082570352782,20,0.8872270619064984,9
0.05527098380008477,0.2323911944383349,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5684196494515528,"{'alpha': 0.1, 'gamma': 0.01}",0.2323911944383349,mlp,0.23783596419678868,20,0.8959259305831488,10
0.0706365096932775,0.26557801419641147,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5629220309771006,"{'alpha': 0.1, 'gamma': 0.01}",0.26557801419641147,mlp,0.2659727308640745,20,0.8940481349573046,11
0.10445870479352226,0.25140885856501627,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5584930235699324,"{'alpha': 0.1, 'gamma': 0.01}",0.25140885856501627,mlp,0.41549333380593045,20,0.8854096298165363,12
0.040145280587683296,0.18220363281031338,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5518283383824341,"{'alpha': 0.1, 'gamma': 0.01}",0.18220363281031338,mlp,0.2203319438173734,20,0.882208149313821,13
-0.037684267568457885,0.1759632605391831,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5425778312689484,"{'alpha': 0.1, 'gamma': 0.01}",0.1759632605391831,mlp,-0.21415986185403993,20,0.8924969013058173,14
0.07061425379954156,0.2553269819556643,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5533885187475291,"{'alpha': 0.1, 'gamma': 0.01}",0.2553269819556643,mlp,0.2765640092507075,20,0.8909805018298995,15
0.0056180541236589,0.29725749146052693,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5529126401986879,"{'alpha': 0.1, 'gamma': 0.01}",0.29725749146052693,mlp,0.018899621658164084,20,0.8900117690458205,16
0.11137744055971932,0.3876082274557615,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5361601424657221,"{'alpha': 0.1, 'gamma': 0.01}",0.3876082274557615,mlp,0.28734539844727897,20,0.8847164907195564,17
